Age,Gender,Annual_Family_Income,Place_Of_Residence,Current_Status,Family_status,Study/Work_Time,Hobbies_Time,Time_For_Perosnal_Needs,Time_with_Family&Relatives,Time_with_Partner,Time_with_Friends,Health&Happiness,Happiness_Scale,Study/work time,Hobbies time,Family time,Partner time,Friends time,Sum of all the time,Personal needs time
16,Male,6 Lakhs - 12 Lakhs,Urban,Student,with my family,3-5.5 hrs,1-2.5 hrs,1-2.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,3,3,4.25,1.75,1.75,0.25,0.25,8.25,15.75
17,Male,Less than 2 Lakhs,Urban,Student,with my family,3-5.5 hrs,0-0.5 hrs,9-11.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,5,0,4.25,0.25,1.75,0.25,0.25,6.75,17.25
17,Male,Less than 2 Lakhs,Urban,Student,with my family,6-8.5 hrs,1-2.5 hrs,3-5.5 hrs,0-0.5 hrs,0-0.5 hrs,1-2.5 hrs,2,3,7.25,1.75,0.25,0.25,1.75,11.25,12.75
17,Female,2 Lakhs - 6 Lakhs,Urban,Student,with my family,3-5.5 hrs,0-0.5 hrs,6-8.5 hrs,3-5.5 hrs,0-0.5 hrs,0-0.5 hrs,1,3,4.25,0.25,4.25,0.25,0.25,9.25,14.75
18,Female,Less than 2 Lakhs,Urban,Student,away from my family,3-5.5 hrs,0-0.5 hrs,9-11.5 hrs,1-2.5 hrs,0-0.5 hrs,1-2.5 hrs,3,3,4.25,0.25,1.75,0.25,1.75,8.25,15.75
18,Female,2 Lakhs - 6 Lakhs,Urban,Student,with my family,3-5.5 hrs,1-2.5 hrs,6-8.5 hrs,1-2.5 hrs,3-5.5 hrs,3-5.5 hrs,3,2,4.25,1.75,1.75,4.25,4.25,16.25,7.75
18,Male,6 Lakhs - 12 Lakhs,Urban,Student,away from my family,6-8.5 hrs,1-2.5 hrs,6-8.5 hrs,0-0.5 hrs,0-0.5 hrs,1-2.5 hrs,4,4,7.25,1.75,0.25,0.25,1.75,11.25,12.75
18,Male,2 Lakhs - 6 Lakhs,Urban,Student,away from my family,6-8.5 hrs,1-2.5 hrs,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,0,5,7.25,1.75,1.75,0.25,0.25,11.25,12.75
18,Female,Less than 2 Lakhs,Urban,Student,with my family,1-2.5 hrs,0-0.5 hrs,12+ hrs,3-5.5 hrs,0-0.5 hrs,6-8.5 hrs,3,3,1.75,0.25,4.25,0.25,7.25,13.75,10.25
18,Female,6 Lakhs - 12 Lakhs,Urban,Student,with my family,3-5.5 hrs,0-0.5 hrs,9-11.5 hrs,1-2.5 hrs,0-0.5 hrs,1-2.5 hrs,4,2,4.25,0.25,1.75,0.25,1.75,8.25,15.75
